userId,movieId,rating,timestamp
1.0,1.0,4.0,2000-07-31
1.0,3.0,4.0,2000-07-31
1.0,6.0,4.0,2000-07-31
1.0,47.0,5.0,2000-07-31
1.0,50.0,5.0,2000-07-31
1.0,70.0,3.0,2000-07-31
1.0,101.0,5.0,2000-07-31
1.0,110.0,4.0,2000-07-31
1.0,151.0,5.0,2000-07-31
1.0,157.0,5.0,2000-07-31
1.0,163.0,5.0,2000-07-31
1.0,216.0,5.0,2000-07-31
1.0,223.0,3.0,2000-07-31
1.0,231.0,5.0,2000-07-31
1.0,235.0,4.0,2000-07-31
1.0,260.0,5.0,2000-07-31
1.0,296.0,3.0,2000-07-31
1.0,316.0,3.0,2000-07-31
1.0,333.0,5.0,2000-07-31
1.0,349.0,4.0,2000-07-31
1.0,356.0,4.0,2000-07-31
1.0,362.0,5.0,2000-07-31
1.0,367.0,4.0,2000-07-31
1.0,423.0,3.0,2000-07-31
1.0,441.0,4.0,2000-07-31
1.0,457.0,5.0,2000-07-31
1.0,480.0,4.0,2000-07-31
1.0,500.0,3.0,2000-07-31
1.0,527.0,5.0,2000-07-31
1.0,543.0,4.0,2000-07-31
1.0,552.0,4.0,2000-07-31
1.0,553.0,5.0,2000-07-31
1.0,590.0,4.0,2000-07-31
1.0,592.0,4.0,2000-07-31
1.0,593.0,4.0,2000-07-31
1.0,596.0,5.0,2000-07-31
1.0,608.0,5.0,2000-07-31
1.0,648.0,3.0,2000-07-31
1.0,661.0,5.0,2000-07-31
1.0,673.0,3.0,2000-07-31
1.0,733.0,4.0,2000-07-31
1.0,736.0,3.0,2000-07-31
1.0,780.0,3.0,2000-07-31
1.0,804.0,4.0,2000-07-31
1.0,919.0,5.0,2000-07-31
1.0,923.0,5.0,2000-07-31
1.0,940.0,5.0,2000-07-31
1.0,943.0,4.0,2000-07-31
1.0,954.0,5.0,2000-07-31
1.0,1009.0,3.0,2000-07-31
1.0,1023.0,5.0,2000-07-31
1.0,1024.0,5.0,2000-07-31
1.0,1025.0,5.0,2000-07-31
1.0,1029.0,5.0,2000-07-31
1.0,1030.0,3.0,2000-07-31
1.0,1031.0,5.0,2000-07-31
1.0,1032.0,5.0,2000-07-31
1.0,1042.0,4.0,2000-07-31
1.0,1049.0,5.0,2000-07-31
1.0,1060.0,4.0,2000-07-31
1.0,1073.0,5.0,2000-07-31
1.0,1080.0,5.0,2000-07-31
1.0,1089.0,5.0,2000-07-31
1.0,1090.0,4.0,2000-07-31
1.0,1092.0,5.0,2000-07-31
1.0,1097.0,5.0,2000-07-31
1.0,1127.0,4.0,2000-07-31
1.0,1136.0,5.0,2000-07-31
1.0,1196.0,5.0,2000-07-31
1.0,1197.0,5.0,2000-07-31
1.0,1198.0,5.0,2000-07-31
1.0,1206.0,5.0,2000-07-31
1.0,1208.0,4.0,2000-07-31
1.0,1210.0,5.0,2000-07-31
1.0,1213.0,5.0,2000-07-31
1.0,1214.0,4.0,2000-07-31
1.0,1219.0,2.0,2000-07-31
1.0,1220.0,5.0,2000-07-31
1.0,1222.0,5.0,2000-07-31
1.0,1224.0,5.0,2000-07-31
1.0,1226.0,5.0,2000-07-31
1.0,1240.0,5.0,2000-07-31
1.0,1256.0,5.0,2000-07-31
1.0,1258.0,3.0,2000-07-31
1.0,1265.0,4.0,2000-07-31
1.0,1270.0,5.0,2000-07-31
1.0,1275.0,5.0,2000-07-31
1.0,1278.0,5.0,2000-07-31
1.0,1282.0,5.0,2000-07-31
1.0,1291.0,5.0,2000-07-31
1.0,1298.0,5.0,2000-07-31
1.0,1348.0,4.0,2000-07-31
1.0,1377.0,3.0,2000-07-31
1.0,1396.0,3.0,2000-07-31
1.0,1408.0,3.0,2000-07-31
1.0,1445.0,3.0,2000-07-31
1.0,1473.0,4.0,2000-07-31
1.0,1500.0,4.0,2000-07-31
1.0,1517.0,5.0,2000-07-31
1.0,1552.0,4.0,2000-07-31
1.0,1573.0,5.0,2000-07-31
1.0,1580.0,3.0,2000-07-31
1.0,1587.0,5.0,2000-07-31
1.0,1617.0,5.0,2000-07-31
1.0,1620.0,4.0,2000-07-31
1.0,1625.0,5.0,2000-07-31
1.0,1644.0,3.0,2000-07-31
1.0,1676.0,3.0,2000-07-31
1.0,1732.0,5.0,2000-07-31
1.0,1777.0,4.0,2000-07-31
1.0,1793.0,4.0,2000-07-31
1.0,1804.0,5.0,2000-07-31
1.0,1805.0,4.0,2000-07-31
1.0,1920.0,4.0,2000-07-31
1.0,1927.0,5.0,2000-07-31
1.0,1954.0,5.0,2000-07-31
1.0,1967.0,4.0,2000-07-31
1.0,2000.0,4.0,2000-07-31
1.0,2005.0,5.0,2000-07-31
1.0,2012.0,4.0,2000-07-31
1.0,2018.0,5.0,2000-07-31
1.0,2028.0,4.0,2000-07-31
1.0,2033.0,5.0,2000-07-31
1.0,2046.0,4.0,2000-07-31
1.0,2048.0,5.0,2000-07-31
1.0,2054.0,4.0,2000-07-31
